support,itemsets,length
0.09,"frozenset({('citrus fruit',)})",1
0.02,"frozenset({('semi-finished bread',)})",1
0.04,"frozenset({('margarine',)})",1
0.01,"frozenset({('ready soups',)})",1
0.12,"frozenset({('tropical fruit',)})",1
0.15,"frozenset({('yogurt',)})",1
0.07,"frozenset({('coffee',)})",1
0.25,"frozenset({('whole milk',)})",1
0.02,"frozenset({('pip fruit',)})",1
0.04,"frozenset({('cream cheese',)})",1
0.02,"frozenset({('meat spreads',)})",1
0.17,"frozenset({('other vegetables',)})",1
0.02,"frozenset({('condensed milk',)})",1
0.02,"frozenset({('long life bakery product',)})",1
0.06,"frozenset({('butter',)})",1
0.02,"frozenset({('rice',)})",1
0.02,"frozenset({('abrasive cleaner',)})",1
0.21,"frozenset({('rolls/buns',)})",1
0.02,"frozenset({('UHT-milk',)})",1
0.03,"frozenset({('bottled beer',)})",1
0.01,"frozenset({('liquor (appetizer)',)})",1
0.01,"frozenset({('potted plants',)})",1
0.02,"frozenset({('cereals',)})",1
0.01,"frozenset({('white bread',)})",1
0.12,"frozenset({('bottled water',)})",1
0.06,"frozenset({('chocolate',)})",1
0.06,"frozenset({('curd',)})",1
0.03,"frozenset({('flour',)})",1
0.01,"frozenset({('dishes',)})",1
0.04,"frozenset({('beef',)})",1
0.03,"frozenset({('frankfurter',)})",1
0.13,"frozenset({('soda',)})",1
0.02,"frozenset({('chicken',)})",1
0.07,"frozenset({('sugar',)})",1
0.09,"frozenset({('fruit/vegetable juice',)})",1
0.09,"frozenset({('newspapers',)})",1
0.02,"frozenset({('packaged fruit/vegetables',)})",1
0.03,"frozenset({('specialty bar',)})",1
0.04,"frozenset({('butter milk',)})",1
0.09,"frozenset({('pastry',)})",1
0.02,"frozenset({('processed cheese',)})",1
0.06,"frozenset({('detergent',)})",1
0.09,"frozenset({('root vegetables',)})",1
0.01,"frozenset({('frozen dessert',)})",1
0.01,"frozenset({('sweet spreads',)})",1
0.03,"frozenset({('salty snack',)})",1
0.03,"frozenset({('waffles',)})",1
0.02,"frozenset({('candy',)})",1
0.02,"frozenset({('bathroom cleaner',)})",1
0.08,"frozenset({('canned beer',)})",1
0.08,"frozenset({('sausage',)})",1
0.07,"frozenset({('brown bread',)})",1
0.03,"frozenset({('shopping bags',)})",1
0.02,"frozenset({('beverages',)})",1
0.03,"frozenset({('hamburger meat',)})",1
0.01,"frozenset({('spices',)})",1
0.02,"frozenset({('hygiene articles',)})",1
0.02,"frozenset({('napkins',)})",1
0.03,"frozenset({('pork',)})",1
0.06,"frozenset({('berries',)})",1
0.05,"frozenset({('whipped/sour cream',)})",1
0.01,"frozenset({('artif. sweetener',)})",1
0.03,"frozenset({('grapes',)})",1
0.01,"frozenset({('dessert',)})",1
0.01,"frozenset({('zwieback',)})",1
0.04,"frozenset({('domestic eggs',)})",1
0.01,"frozenset({('spread cheese',)})",1
0.01,"frozenset({('misc. beverages',)})",1
0.02,"frozenset({('hard cheese',)})",1
0.02,"frozenset({('cat food',)})",1
0.02,"frozenset({('ham',)})",1
0.01,"frozenset({('turkey',)})",1
0.01,"frozenset({('baking powder',)})",1
0.02,"frozenset({('pickled vegetables',)})",1
0.05,"frozenset({('oil',)})",1
0.01,"frozenset({('chewing gum',)})",1
0.01,"frozenset({('chocolate marshmallow',)})",1
0.01,"frozenset({('ice cream',)})",1
0.04,"frozenset({('frozen vegetables',)})",1
0.01,"frozenset({('canned fish',)})",1
0.01,"frozenset({('seasonal products',)})",1
0.01,"frozenset({('curd cheese',)})",1
0.03,"frozenset({('red/blush wine',)})",1
0.02,"frozenset({('frozen potato products',)})",1
0.01,"frozenset({('specialty fat',)})",1
0.02,"frozenset({('specialty chocolate',)})",1
0.03,"frozenset({('candles',)})",1
0.01,"frozenset({('flower (seeds)',)})",1
0.01,"frozenset({('sparkling wine',)})",1
0.02,"frozenset({('salt',)})",1
0.01,"frozenset({('frozen meals',)})",1
0.01,"frozenset({('canned vegetables',)})",1
0.03,"frozenset({('onions',)})",1
0.01,"frozenset({('herbs',)})",1
0.01,"frozenset({('white wine',)})",1
0.01,"frozenset({('brandy',)})",1
0.01,"frozenset({('photo/film',)})",1
0.01,"frozenset({('sliced cheese',)})",1
0.01,"frozenset({('pasta',)})",1
0.01,"frozenset({('semi-finished bread',), ('citrus fruit',)})",2
0.01,"frozenset({('margarine',), ('citrus fruit',)})",2
0.01,"frozenset({('ready soups',), ('citrus fruit',)})",2
0.03,"frozenset({('tropical fruit',), ('citrus fruit',)})",2
0.02,"frozenset({('yogurt',), ('citrus fruit',)})",2
0.01,"frozenset({('coffee',), ('citrus fruit',)})",2
0.03,"frozenset({('whole milk',), ('citrus fruit',)})",2
0.01,"frozenset({('cream cheese',), ('citrus fruit',)})",2
0.01,"frozenset({('other vegetables',), ('citrus fruit',)})",2
0.02,"frozenset({('butter',), ('citrus fruit',)})",2
0.01,"frozenset({('rice',), ('citrus fruit',)})",2
0.01,"frozenset({('bottled water',), ('citrus fruit',)})",2
0.01,"frozenset({('chocolate',), ('citrus fruit',)})",2
0.02,"frozenset({('curd',), ('citrus fruit',)})",2
0.01,"frozenset({('flour',), ('citrus fruit',)})",2
0.01,"frozenset({('dishes',), ('citrus fruit',)})",2
0.01,"frozenset({('frankfurter',), ('citrus fruit',)})",2
0.01,"frozenset({('chicken',), ('citrus fruit',)})",2
0.02,"frozenset({('newspapers',), ('citrus fruit',)})",2
0.02,"frozenset({('butter milk',), ('citrus fruit',)})",2
0.01,"frozenset({('pastry',), ('citrus fruit',)})",2
0.01,"frozenset({('detergent',), ('citrus fruit',)})",2
0.01,"frozenset({('root vegetables',), ('citrus fruit',)})",2
0.02,"frozenset({('hamburger meat',), ('citrus fruit',)})",2
0.01,"frozenset({('pork',), ('citrus fruit',)})",2
0.01,"frozenset({('berries',), ('citrus fruit',)})",2
0.01,"frozenset({('whipped/sour cream',), ('citrus fruit',)})",2
0.01,"frozenset({('zwieback',), ('citrus fruit',)})",2
0.01,"frozenset({('domestic eggs',), ('citrus fruit',)})",2
0.02,"frozenset({('oil',), ('citrus fruit',)})",2
0.01,"frozenset({('specialty chocolate',), ('citrus fruit',)})",2
0.01,"frozenset({('sparkling wine',), ('citrus fruit',)})",2
0.01,"frozenset({('onions',), ('citrus fruit',)})",2
0.01,"frozenset({('pasta',), ('citrus fruit',)})",2
0.02,"frozenset({('margarine',), ('semi-finished bread',)})",2
0.01,"frozenset({('semi-finished bread',), ('ready soups',)})",2
0.01,"frozenset({('semi-finished bread',), ('tropical fruit',)})",2
0.01,"frozenset({('other vegetables',), ('semi-finished bread',)})",2
0.01,"frozenset({('curd',), ('semi-finished bread',)})",2
0.01,"frozenset({('semi-finished bread',), ('fruit/vegetable juice',)})",2
0.01,"frozenset({('semi-finished bread',), ('brown bread',)})",2
0.01,"frozenset({('semi-finished bread',), ('domestic eggs',)})",2
0.01,"frozenset({('semi-finished bread',), ('turkey',)})",2
0.01,"frozenset({('semi-finished bread',), ('baking powder',)})",2
0.01,"frozenset({('margarine',), ('ready soups',)})",2
0.01,"frozenset({('margarine',), ('tropical fruit',)})",2
0.02,"frozenset({('margarine',), ('whole milk',)})",2
0.01,"frozenset({('margarine',), ('other vegetables',)})",2
0.01,"frozenset({('butter',), ('margarine',)})",2
0.01,"frozenset({('margarine',), ('rolls/buns',)})",2
0.01,"frozenset({('margarine',), ('curd',)})",2
0.02,"frozenset({('margarine',), ('fruit/vegetable juice',)})",2
0.01,"frozenset({('root vegetables',), ('margarine',)})",2
0.01,"frozenset({('bathroom cleaner',), ('margarine',)})",2
0.01,"frozenset({('margarine',), ('brown bread',)})",2
0.02,"frozenset({('margarine',), ('domestic eggs',)})",2
0.01,"frozenset({('margarine',), ('turkey',)})",2
0.01,"frozenset({('margarine',), ('baking powder',)})",2
0.01,"frozenset({('margarine',), ('oil',)})",2
0.01,"frozenset({('margarine',), ('frozen vegetables',)})",2
0.01,"frozenset({('margarine',), ('specialty fat',)})",2
0.01,"frozenset({('margarine',), ('specialty chocolate',)})",2
0.01,"frozenset({('margarine',), ('candles',)})",2
0.01,"frozenset({('margarine',), ('flower (seeds)',)})",2
0.01,"frozenset({('margarine',), ('canned vegetables',)})",2
0.03,"frozenset({('yogurt',), ('tropical fruit',)})",2
0.02,"frozenset({('coffee',), ('tropical fruit',)})",2
0.03,"frozenset({('tropical fruit',), ('whole milk',)})",2
0.01,"frozenset({('pip fruit',), ('tropical fruit',)})",2
0.01,"frozenset({('cream cheese',), ('tropical fruit',)})",2
0.04,"frozenset({('other vegetables',), ('tropical fruit',)})",2
0.02,"frozenset({('butter',), ('tropical fruit',)})",2
0.03,"frozenset({('rolls/buns',), ('tropical fruit',)})",2
0.01,"frozenset({('cereals',), ('tropical fruit',)})",2
0.01,"frozenset({('white bread',), ('tropical fruit',)})",2
0.02,"frozenset({('bottled water',), ('tropical fruit',)})",2
0.02,"frozenset({('chocolate',), ('tropical fruit',)})",2
0.02,"frozenset({('curd',), ('tropical fruit',)})",2
0.02,"frozenset({('flour',), ('tropical fruit',)})",2
0.01,"frozenset({('dishes',), ('tropical fruit',)})",2
0.01,"frozenset({('frankfurter',), ('tropical fruit',)})",2
0.01,"frozenset({('soda',), ('tropical fruit',)})",2
0.02,"frozenset({('chicken',), ('tropical fruit',)})",2
0.02,"frozenset({('sugar',), ('tropical fruit',)})",2
0.01,"frozenset({('tropical fruit',), ('fruit/vegetable juice',)})",2
0.01,"frozenset({('newspapers',), ('tropical fruit',)})",2
0.01,"frozenset({('pastry',), ('tropical fruit',)})",2
0.01,"frozenset({('processed cheese',), ('tropical fruit',)})",2
0.02,"frozenset({('detergent',), ('tropical fruit',)})",2
0.03,"frozenset({('root vegetables',), ('tropical fruit',)})",2
0.01,"frozenset({('frozen dessert',), ('tropical fruit',)})",2
0.01,"frozenset({('sweet spreads',), ('tropical fruit',)})",2
0.01,"frozenset({('tropical fruit',), ('salty snack',)})",2
0.02,"frozenset({('waffles',), ('tropical fruit',)})",2
0.02,"frozenset({('candy',), ('tropical fruit',)})",2
0.01,"frozenset({('bathroom cleaner',), ('tropical fruit',)})",2
0.03,"frozenset({('brown bread',), ('tropical fruit',)})",2
0.01,"frozenset({('tropical fruit',), ('hamburger meat',)})",2
0.01,"frozenset({('tropical fruit',), ('berries',)})",2
0.02,"frozenset({('tropical fruit',), ('domestic eggs',)})",2
0.01,"frozenset({('tropical fruit',), ('turkey',)})",2
0.01,"frozenset({('tropical fruit',), ('baking powder',)})",2
0.01,"frozenset({('pickled vegetables',), ('tropical fruit',)})",2
0.01,"frozenset({('oil',), ('tropical fruit',)})",2
0.01,"frozenset({('tropical fruit',), ('frozen potato products',)})",2
0.01,"frozenset({('pasta',), ('tropical fruit',)})",2
0.02,"frozenset({('yogurt',), ('coffee',)})",2
0.06,"frozenset({('yogurt',), ('whole milk',)})",2
0.01,"frozenset({('yogurt',), ('pip fruit',)})",2
0.03,"frozenset({('yogurt',), ('cream cheese',)})",2
0.01,"frozenset({('yogurt',), ('meat spreads',)})",2
0.02,"frozenset({('butter',), ('yogurt',)})",2
0.01,"frozenset({('yogurt',), ('rice',)})",2
0.01,"frozenset({('yogurt',), ('abrasive cleaner',)})",2
0.02,"frozenset({('yogurt',), ('rolls/buns',)})",2
0.01,"frozenset({('yogurt',), ('cereals',)})",2
0.03,"frozenset({('yogurt',), ('bottled water',)})",2
0.02,"frozenset({('yogurt',), ('curd',)})",2
0.01,"frozenset({('flour',), ('yogurt',)})",2
0.01,"frozenset({('yogurt',), ('dishes',)})",2
0.03,"frozenset({('soda',), ('yogurt',)})",2
0.01,"frozenset({('sugar',), ('yogurt',)})",2
0.01,"frozenset({('yogurt',), ('newspapers',)})",2
0.01,"frozenset({('yogurt',), ('specialty bar',)})",2
0.02,"frozenset({('yogurt',), ('butter milk',)})",2
0.02,"frozenset({('yogurt',), ('pastry',)})",2
0.01,"frozenset({('yogurt',), ('processed cheese',)})",2
0.01,"frozenset({('yogurt',), ('detergent',)})",2
0.02,"frozenset({('root vegetables',), ('yogurt',)})",2
0.01,"frozenset({('yogurt',), ('waffles',)})",2
0.01,"frozenset({('candy',), ('yogurt',)})",2
0.01,"frozenset({('yogurt',), ('sausage',)})",2
0.02,"frozenset({('yogurt',), ('brown bread',)})",2
0.01,"frozenset({('yogurt',), ('beverages',)})",2
0.02,"frozenset({('yogurt',), ('berries',)})",2
0.01,"frozenset({('yogurt',), ('domestic eggs',)})",2
0.01,"frozenset({('yogurt',), ('spread cheese',)})",2
0.01,"frozenset({('yogurt',), ('pickled vegetables',)})",2
0.01,"frozenset({('onions',), ('yogurt',)})",2
0.01,"frozenset({('brandy',), ('yogurt',)})",2
0.01,"frozenset({('coffee',), ('whole milk',)})",2
0.01,"frozenset({('coffee',), ('rice',)})",2
0.01,"frozenset({('coffee',), ('cereals',)})",2
0.01,"frozenset({('chocolate',), ('coffee',)})",2
0.01,"frozenset({('soda',), ('coffee',)})",2
0.01,"frozenset({('sugar',), ('coffee',)})",2
0.01,"frozenset({('newspapers',), ('coffee',)})",2
0.01,"frozenset({('coffee',), ('pastry',)})",2
0.01,"frozenset({('root vegetables',), ('coffee',)})",2
0.01,"frozenset({('coffee',), ('waffles',)})",2
0.01,"frozenset({('candy',), ('coffee',)})",2
0.01,"frozenset({('coffee',), ('brown bread',)})",2
0.01,"frozenset({('coffee',), ('hamburger meat',)})",2
0.01,"frozenset({('coffee',), ('pork',)})",2
0.01,"frozenset({('coffee',), ('berries',)})",2
0.01,"frozenset({('whipped/sour cream',), ('coffee',)})",2
0.01,"frozenset({('coffee',), ('domestic eggs',)})",2
0.01,"frozenset({('curd cheese',), ('coffee',)})",2
0.01,"frozenset({('coffee',), ('frozen meals',)})",2
0.01,"frozenset({('onions',), ('coffee',)})",2
0.01,"frozenset({('pip fruit',), ('whole milk',)})",2
0.01,"frozenset({('meat spreads',), ('whole milk',)})",2
0.07,"frozenset({('other vegetables',), ('whole milk',)})",2
0.01,"frozenset({('condensed milk',), ('whole milk',)})",2
0.01,"frozenset({('long life bakery product',), ('whole milk',)})",2
0.03,"frozenset({('butter',), ('whole milk',)})",2
0.01,"frozenset({('rice',), ('whole milk',)})",2
0.02,"frozenset({('abrasive cleaner',), ('whole milk',)})",2
0.03,"frozenset({('rolls/buns',), ('whole milk',)})",2
0.02,"frozenset({('cereals',), ('whole milk',)})",2
0.01,"frozenset({('bottled water',), ('whole milk',)})",2
0.01,"frozenset({('chocolate',), ('whole milk',)})",2
0.04,"frozenset({('curd',), ('whole milk',)})",2
0.01,"frozenset({('flour',), ('whole milk',)})",2
0.01,"frozenset({('dishes',), ('whole milk',)})",2
0.01,"frozenset({('beef',), ('whole milk',)})",2
0.01,"frozenset({('frankfurter',), ('whole milk',)})",2
0.04,"frozenset({('soda',), ('whole milk',)})",2
0.03,"frozenset({('sugar',), ('whole milk',)})",2
0.01,"frozenset({('fruit/vegetable juice',), ('whole milk',)})",2
0.01,"frozenset({('newspapers',), ('whole milk',)})",2
0.01,"frozenset({('butter milk',), ('whole milk',)})",2
0.03,"frozenset({('pastry',), ('whole milk',)})",2
0.01,"frozenset({('processed cheese',), ('whole milk',)})",2
0.01,"frozenset({('detergent',), ('whole milk',)})",2
0.04,"frozenset({('root vegetables',), ('whole milk',)})",2
0.01,"frozenset({('salty snack',), ('whole milk',)})",2
0.01,"frozenset({('waffles',), ('whole milk',)})",2
0.01,"frozenset({('candy',), ('whole milk',)})",2
0.01,"frozenset({('bathroom cleaner',), ('whole milk',)})",2
0.02,"frozenset({('whole milk',), ('sausage',)})",2
0.02,"frozenset({('brown bread',), ('whole milk',)})",2
0.01,"frozenset({('beverages',), ('whole milk',)})",2
0.01,"frozenset({('pork',), ('whole milk',)})",2
0.02,"frozenset({('berries',), ('whole milk',)})",2
0.01,"frozenset({('whipped/sour cream',), ('whole milk',)})",2
0.01,"frozenset({('whole milk',), ('artif. sweetener',)})",2
0.01,"frozenset({('grapes',), ('whole milk',)})",2
0.01,"frozenset({('dessert',), ('whole milk',)})",2
0.03,"frozenset({('domestic eggs',), ('whole milk',)})",2
0.01,"frozenset({('ham',), ('whole milk',)})",2
0.02,"frozenset({('pickled vegetables',), ('whole milk',)})",2
0.02,"frozenset({('oil',), ('whole milk',)})",2
0.02,"frozenset({('frozen vegetables',), ('whole milk',)})",2
0.01,"frozenset({('canned fish',), ('whole milk',)})",2
0.01,"frozenset({('seasonal products',), ('whole milk',)})",2
0.01,"frozenset({('frozen potato products',), ('whole milk',)})",2
0.01,"frozenset({('specialty fat',), ('whole milk',)})",2
0.02,"frozenset({('whole milk',), ('specialty chocolate',)})",2
0.01,"frozenset({('candles',), ('whole milk',)})",2
0.01,"frozenset({('flower (seeds)',), ('whole milk',)})",2
0.01,"frozenset({('sparkling wine',), ('whole milk',)})",2
0.01,"frozenset({('whole milk',), ('canned vegetables',)})",2
0.01,"frozenset({('pip fruit',), ('cream cheese',)})",2
0.01,"frozenset({('pip fruit',), ('meat spreads',)})",2
0.01,"frozenset({('pip fruit',), ('rolls/buns',)})",2
0.01,"frozenset({('chocolate',), ('pip fruit',)})",2
0.01,"frozenset({('pip fruit',), ('berries',)})",2
0.01,"frozenset({('pip fruit',), ('pickled vegetables',)})",2
0.01,"frozenset({('pip fruit',), ('frozen potato products',)})",2
0.01,"frozenset({('cream cheese',), ('meat spreads',)})",2
0.01,"frozenset({('cream cheese',), ('rolls/buns',)})",2
0.01,"frozenset({('bottled water',), ('cream cheese',)})",2
0.01,"frozenset({('soda',), ('cream cheese',)})",2
0.02,"frozenset({('newspapers',), ('cream cheese',)})",2
0.02,"frozenset({('cream cheese',), ('butter milk',)})",2
0.01,"frozenset({('processed cheese',), ('cream cheese',)})",2
0.01,"frozenset({('detergent',), ('cream cheese',)})",2
0.01,"frozenset({('spread cheese',), ('cream cheese',)})",2
0.01,"frozenset({('soda',), ('meat spreads',)})",2
0.01,"frozenset({('other vegetables',), ('condensed milk',)})",2
0.02,"frozenset({('long life bakery product',), ('other vegetables',)})",2
0.02,"frozenset({('butter',), ('other vegetables',)})",2
0.01,"frozenset({('abrasive cleaner',), ('other vegetables',)})",2
0.05,"frozenset({('other vegetables',), ('rolls/buns',)})",2
0.02,"frozenset({('other vegetables',), ('UHT-milk',)})",2
0.01,"frozenset({('other vegetables',), ('bottled beer',)})",2
0.01,"frozenset({('liquor (appetizer)',), ('other vegetables',)})",2
0.01,"frozenset({('white bread',), ('other vegetables',)})",2
0.03,"frozenset({('bottled water',), ('other vegetables',)})",2
0.01,"frozenset({('chocolate',), ('other vegetables',)})",2
0.02,"frozenset({('curd',), ('other vegetables',)})",2
0.01,"frozenset({('flour',), ('other vegetables',)})",2
0.01,"frozenset({('soda',), ('other vegetables',)})",2
0.01,"frozenset({('chicken',), ('other vegetables',)})",2
0.02,"frozenset({('sugar',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('fruit/vegetable juice',)})",2
0.02,"frozenset({('other vegetables',), ('detergent',)})",2
0.05,"frozenset({('root vegetables',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('frozen dessert',)})",2
0.01,"frozenset({('other vegetables',), ('sweet spreads',)})",2
0.02,"frozenset({('other vegetables',), ('salty snack',)})",2
0.01,"frozenset({('other vegetables',), ('waffles',)})",2
0.01,"frozenset({('candy',), ('other vegetables',)})",2
0.01,"frozenset({('bathroom cleaner',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('brown bread',)})",2
0.01,"frozenset({('other vegetables',), ('beverages',)})",2
0.02,"frozenset({('other vegetables',), ('hamburger meat',)})",2
0.01,"frozenset({('other vegetables',), ('spices',)})",2
0.01,"frozenset({('other vegetables',), ('hygiene articles',)})",2
0.01,"frozenset({('other vegetables',), ('napkins',)})",2
0.02,"frozenset({('other vegetables',), ('pork',)})",2
0.01,"frozenset({('other vegetables',), ('berries',)})",2
0.03,"frozenset({('whipped/sour cream',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('artif. sweetener',)})",2
0.01,"frozenset({('other vegetables',), ('grapes',)})",2
0.01,"frozenset({('other vegetables',), ('dessert',)})",2
0.01,"frozenset({('other vegetables',), ('domestic eggs',)})",2
0.01,"frozenset({('hard cheese',), ('other vegetables',)})",2
0.01,"frozenset({('other vegetables',), ('ham',)})",2
