ID,product,price,quantity,times_sold,revenue_per_item
0,citrus fruit,6.16,45,9,55.44
1,semi-finished bread,11.16,90,2,22.32
2,margarine,5.93,32,4,23.72
3,ready soups,5.93,27,1,5.93
4,tropical fruit,18.78,62,12,225.36
5,yogurt,9.1,43,15,136.5
6,coffee,13.14,55,7,91.98
7,whole milk,19.58,38,25,489.49999999999994
8,pip fruit,5.45,52,2,10.9
9,cream cheese,18.92,34,4,75.68
10,meat spreads,1.49,69,2,2.98
11,other vegetables,7.74,34,17,131.58
12,condensed milk,16.6,47,2,33.2
13,long life bakery product,2.95,92,2,5.9
14,butter,17.09,73,6,102.53999999999999
15,rice,2.03,25,2,4.06
16,abrasive cleaner,8.09,57,2,16.18
17,rolls/buns,12.18,94,21,255.78
18,UHT-milk,3.27,92,2,6.54
19,bottled beer,14.46,96,3,43.38
20,liquor (appetizer),16.32,54,1,16.32
21,potted plants,0.43,86,1,0.43
22,cereals,12.31,88,2,24.62
23,white bread,9.23,80,1,9.23
24,bottled water,7.74,75,12,92.88
25,chocolate,19.71,46,6,118.26
26,curd,9.8,45,6,58.800000000000004
27,flour,3.44,69,3,10.32
28,dishes,3.61,63,1,3.61
29,beef,18.05,99,4,72.2
30,frankfurter,14.04,47,3,42.12
31,soda,0.9,54,13,11.700000000000001
32,chicken,6.33,83,2,12.66
33,sugar,2.25,41,7,15.75
34,fruit/vegetable juice,5.54,81,9,49.86
35,newspapers,14.43,93,9,129.87
36,packaged fruit/vegetables,2.17,40,2,4.34
37,specialty bar,12.31,100,3,36.93
38,butter milk,19.49,43,4,77.96
39,pastry,18.5,34,9,166.5
40,processed cheese,0.01,68,2,0.02
41,detergent,17.64,75,6,105.84
42,root vegetables,6.56,85,9,59.04
43,frozen dessert,15.68,25,1,15.68
44,sweet spreads,9.53,96,1,9.53
45,salty snack,4.24,48,3,12.72
46,waffles,16.43,29,3,49.29
47,candy,18.03,25,2,36.06
48,bathroom cleaner,15.8,96,2,31.6
49,canned beer,9.35,54,8,74.8
50,sausage,10.58,78,8,84.64
51,brown bread,6.61,87,7,46.27
52,shopping bags,12.46,36,3,37.38
53,beverages,17.02,82,2,34.04
54,hamburger meat,12.75,83,3,38.25
55,spices,3.21,95,1,3.21
56,hygiene articles,5.28,85,2,10.56
57,napkins,3.92,31,2,7.84
58,pork,19.62,81,3,58.86
59,berries,10.2,38,6,61.199999999999996
60,whipped/sour cream,10.13,98,5,50.650000000000006
61,artif. sweetener,7.35,65,1,7.35
62,grapes,6.57,90,3,19.71
63,dessert,0.8,51,1,0.8
64,zwieback,1.99,67,1,1.99
65,domestic eggs,15.02,90,4,60.08
66,spread cheese,10.87,64,1,10.87
67,misc. beverages,8.54,66,1,8.54
68,hard cheese,7.2,44,2,14.4
69,cat food,2.97,100,2,5.94
70,ham,12.68,37,2,25.36
71,turkey,8.57,37,1,8.57
72,baking powder,15.94,62,1,15.94
73,pickled vegetables,3.82,80,2,7.64
74,oil,0.77,33,5,3.85
75,chewing gum,4.85,49,1,4.85
76,chocolate marshmallow,6.12,90,1,6.12
77,ice cream,10.42,98,1,10.42
78,frozen vegetables,13.2,26,4,52.8
79,canned fish,0.53,83,1,0.53
80,seasonal products,11.28,100,1,11.28
81,curd cheese,17.84,48,1,17.84
82,red/blush wine,13.74,97,3,41.22
83,frozen potato products,4.77,56,2,9.54
84,specialty fat,2.89,87,1,2.89
85,specialty chocolate,6.32,39,2,12.64
86,candles,17.08,65,3,51.239999999999995
87,flower (seeds),8.81,93,1,8.81
88,sparkling wine,5.49,28,1,5.49
89,salt,9.48,77,2,18.96
90,frozen meals,5.31,83,1,5.31
91,canned vegetables,6.88,64,1,6.88
92,onions,3.58,77,3,10.74
93,herbs,10.09,96,1,10.09
94,white wine,13.97,89,1,13.97
95,brandy,10.42,52,1,10.42
96,photo/film,17.77,64,1,17.77
97,sliced cheese,2.5,47,1,2.5
98,pasta,8.4,36,1,8.4
