ID,Item,Price,Quantity,Times Bought,Item_revenue
0,citrus fruit,0.81,33,814,659.34
1,semi-finished bread,13.86,42,174,2411.64
2,margarine,13.23,47,576,7620.4800000000005
3,ready soups,10.39,45,18,187.02
4,tropical fruit,13.11,48,1032,13529.519999999999
5,yogurt,7.61,43,1372,10440.92
6,coffee,12.81,27,571,7314.51
7,whole milk,2.81,44,2513,7061.53
8,pip fruit,8.55,38,744,6361.200000000001
9,cream cheese,1.69,29,390,659.1
10,meat spreads,8.2,40,42,344.4
11,other vegetables,14.51,45,1903,27612.53
12,condensed milk,19.25,41,101,1944.25
13,long life bakery product,7.83,39,368,2881.44
14,butter,16.16,47,545,8807.2
15,rice,16.26,38,75,1219.5000000000002
16,abrasive cleaner,13.31,49,35,465.85
17,rolls/buns,0.15,25,1809,271.34999999999997
18,UHT-milk,18.55,45,329,6102.95
19,bottled beer,18.52,43,792,14667.84
20,liquor (appetizer),5.46,36,78,425.88
21,potted plants,16.18,43,170,2750.6
22,cereals,14.0,45,56,784.0
23,white bread,2.45,40,414,1014.3000000000001
24,bottled water,16.48,42,1087,17913.760000000002
25,chocolate,6.67,30,488,3254.96
26,curd,6.77,26,524,3547.4799999999996
27,flour,6.76,49,171,1155.96
28,dishes,7.51,46,173,1299.23
29,beef,6.99,39,516,3606.84
30,frankfurter,17.69,37,580,10260.2
31,soda,1.12,31,1715,1920.8000000000002
32,chicken,1.79,39,422,755.38
33,sugar,6.14,47,333,2044.62
34,fruit/vegetable juice,13.77,28,711,9790.47
35,newspapers,6.83,31,785,5361.55
36,packaged fruit/vegetables,1.77,44,128,226.56
37,specialty bar,19.14,38,269,5148.66
38,butter milk,2.21,41,275,607.75
39,pastry,0.63,42,875,551.25
40,processed cheese,0.62,46,163,101.06
41,detergent,4.72,49,189,892.0799999999999
42,root vegetables,15.99,31,1072,17141.28
43,frozen dessert,12.43,42,106,1317.58
44,sweet spreads,0.98,29,89,87.22
45,salty snack,2.69,44,372,1000.68
46,waffles,15.31,48,378,5787.18
47,candy,9.33,42,294,2743.02
48,bathroom cleaner,10.53,28,27,284.31
